OID_,NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Date,Year,Month
241,Kachecheti,8,2626.000000000000000,0.015290066194000,127.333335876000007,189.000000000000000,61.666664123499999,156.274942818000000,9.433553598070000,410377.999840000004042,155.666671753000003,168.333328246999997,201504,2015,04
242,Mabale,9,1780.000000000000000,0.010364172820000,135.666671753000003,188.000000000000000,52.333328247099999,165.745318217999994,10.114490869200001,295026.666428000025917,166.000000000000000,179.000000000000000,201504,2015,04
243,Nekatambe,1,5882.000000000000000,0.034248350858000,100.000000000000000,181.333328246999997,81.333328247099999,152.196985270999988,7.750359684210000,895222.667366000008769,153.000000000000000,161.000000000000000,201505,2015,05
244,Nemananga,2,3134.000000000000000,0.018247931246000,136.666671753000003,186.333328246999997,49.666656494100003,159.063284484000008,8.266959660960000,498504.333571999974083,158.666671753000003,170.000000000000000,201505,2015,05
245,Sidinda,3,8465.000000000000000,0.049288046585000,134.333328246999997,183.333328246999997,49.000000000000000,159.512344990999992,5.239280229390000,1350272.000350000103936,159.666671753000003,165.666671753000003,201505,2015,05
246,Simangani,4,7246.000000000000000,0.042190334974000,131.333328246999997,186.333328246999997,55.000000000000000,151.186861851999993,6.705200585950000,1095500.000980000011623,151.000000000000000,159.333328246999997,201505,2015,05
247,Unknown 16,5,1665.000000000000000,0.009694577385000,95.666664123499999,178.000000000000000,82.333335876500001,143.845845999000005,6.760865536010000,239503.333588000008604,144.000000000000000,150.666671753000003,201505,2015,05
248,Chidobe,6,1918.000000000000000,0.011167687342000,138.000000000000000,185.666671753000003,47.666671752900001,157.879735809000010,7.980389444130000,302813.333281999977771,157.666671753000003,167.666671753000003,201505,2015,05
249,Jambezi,7,3851.000000000000000,0.022422713219000,136.666671753000003,180.000000000000000,43.333328247099999,157.568337213999996,5.671277529030000,606795.666610999964178,157.666671753000003,164.666671753000003,201505,2015,05
250,Kachecheti,8,2626.000000000000000,0.015290066194000,135.333328246999997,180.666671753000003,45.333343505899997,158.114622786000012,7.439737072230000,415208.999435000005178,158.333328246999997,167.666671753000003,201505,2015,05
251,Mabale,9,1780.000000000000000,0.010364172820000,138.666671753000003,180.000000000000000,41.333328247099999,157.476030011000006,7.959125408200000,280307.333419999980833,158.333328246999997,167.333328246999997,201505,2015,05
252,Nekatambe,1,5882.000000000000000,0.034248350858000,99.000000000000000,165.000000000000000,66.000000000000000,139.165476329999990,4.968289734330000,818571.331771999946795,139.666671753000003,144.666671753000003,201506,2015,06
253,Nemananga,2,3134.000000000000000,0.018247931246000,125.333335876000007,180.666671753000003,55.333335876500001,144.702935177999990,6.383915360650000,453498.998848000017460,144.000000000000000,153.333328246999997,201506,2015,06
254,Sidinda,3,8465.000000000000000,0.049288046585000,124.000000000000000,162.666671753000003,38.666671752900001,144.509194205000000,4.534085102070000,1223270.328949999995530,144.333328246999997,150.333328246999997,201506,2015,06
255,Simangani,4,7246.000000000000000,0.042190334974000,123.333335876000007,156.666671753000003,33.333335876500001,138.188287473000003,4.150156929660000,1001312.331030000001192,138.333328246999997,143.333328246999997,201506,2015,06
256,Unknown 16,5,1665.000000000000000,0.009694577385000,99.666664123499999,167.000000000000000,67.333335876500001,135.265865373999986,4.927534810270000,225217.665848000004189,135.000000000000000,140.333328246999997,201506,2015,06
257,Chidobe,6,1918.000000000000000,0.011167687342000,129.666671753000003,185.000000000000000,55.333328247099999,149.189607279999990,8.702149559750000,286145.666763000015635,148.333328246999997,161.000000000000000,201506,2015,06
258,Jambezi,7,3851.000000000000000,0.022422713219000,126.666664123999993,163.333328246999997,36.666664123499999,143.308317796000011,5.188607222960000,551880.331832999945618,143.000000000000000,150.333328246999997,201506,2015,06
259,Kachecheti,8,2626.000000000000000,0.015290066194000,127.000000000000000,174.333328246999997,47.333328247099999,148.771896373999994,7.473564441660000,390674.999878000002354,148.333328246999997,158.000000000000000,201506,2015,06
260,Mabale,9,1780.000000000000000,0.010364172820000,129.333328246999997,165.333328246999997,36.000000000000000,144.152246881999986,6.928616259790000,256590.999451000010595,143.333328246999997,154.000000000000000,201506,2015,06
261,Nekatambe,1,5882.000000000000000,0.034248350858000,105.666664123999993,151.000000000000000,45.333335876500001,133.474781288999992,3.720273120740000,785098.663544000010006,134.000000000000000,137.333328246999997,201507,2015,07
262,Nemananga,2,3134.000000000000000,0.018247931246000,121.333335876000007,155.666671753000003,34.333335876500001,136.375770523000000,4.142134549780000,427401.664817999990191,136.333328246999997,141.566668700999998,201507,2015,07
263,Sidinda,3,8465.000000000000000,0.049288046585000,123.000000000000000,153.666671753000003,30.666671752900001,136.624374046000014,3.497068898640000,1156525.326300000073388,136.333328246999997,141.000000000000000,201507,2015,07
264,Simangani,4,7246.000000000000000,0.042190334974000,121.666664123999993,155.333328246999997,33.666664123499999,133.349893815000001,3.102723247290000,966253.330581999965943,133.666671753000003,136.666671753000003,201507,2015,07
265,Unknown 16,5,1665.000000000000000,0.009694577385000,99.000000000000000,161.666671753000003,62.666671752900001,132.312312265999992,4.356459303910000,220299.999924000003375,132.333328246999997,136.333328246999997,201507,2015,07
266,Chidobe,6,1918.000000000000000,0.011167687342000,125.000000000000000,164.333328246999997,39.333328247099999,139.599756127000006,7.014227237260000,267752.332253000000492,138.666671753000003,150.000000000000000,201507,2015,07
267,Jambezi,7,3851.000000000000000,0.022422713219000,124.000000000000000,156.000000000000000,32.000000000000000,135.810870915000010,3.993514743700000,523007.663895000005141,135.666671753000003,141.000000000000000,201507,2015,07
268,Kachecheti,8,2626.000000000000000,0.015290066194000,123.333335876000007,162.666671753000003,39.333335876500001,139.546204039999992,6.249955981830000,366448.331810000003316,139.000000000000000,146.666671753000003,201507,2015,07
269,Mabale,9,1780.000000000000000,0.010364172820000,127.333335876000007,157.666671753000003,30.333335876500001,137.620973316999994,5.197332858310000,244965.332503999990877,137.166664123999993,145.000000000000000,201507,2015,07
270,Nekatambe,1,5882.000000000000000,0.034248350858000,104.666664123999993,145.666671753000003,41.000007629400002,130.568797111999999,3.104115583410000,768005.664611999993213,131.000000000000000,134.000000000000000,201508,2015,08
271,Nemananga,2,3134.000000000000000,0.018247931246000,120.000000000000000,143.666671753000003,23.666671752900001,132.319824995000005,3.461776901690000,414690.331535000004806,132.000000000000000,136.333328246999997,201508,2015,08
272,Sidinda,3,8465.000000000000000,0.049288046585000,121.333335876000007,147.333328246999997,25.999992370600001,131.916203198000005,2.528257497860000,1116670.660069999983534,131.666671753000003,135.000000000000000,201508,2015,08
273,Simangani,4,7246.000000000000000,0.042190334974000,120.666664123999993,143.666671753000003,23.000007629399999,130.718787080999988,2.471091561690000,947188.331191999954171,131.000000000000000,133.333328246999997,201508,2015,08
274,Unknown 16,5,1665.000000000000000,0.009694577385000,104.000000000000000,155.333328246999997,51.333328247099999,130.147947724999995,3.694082399360000,216696.332961999985855,130.333328246999997,133.333328246999997,201508,2015,08
275,Chidobe,6,1918.000000000000000,0.011167687342000,122.000000000000000,147.000000000000000,25.000000000000000,132.851754631000006,4.322341249880000,254809.665382000006502,132.333328246999997,138.666671753000003,201508,2015,08
276,Jambezi,7,3851.000000000000000,0.022422713219000,122.000000000000000,148.333328246999997,26.333328247099999,131.416341590999991,2.955570574370000,506084.331467000010889,131.333328246999997,135.000000000000000,201508,2015,08
277,Kachecheti,8,2626.000000000000000,0.015290066194000,121.333335876000007,148.666671753000003,27.333335876500001,133.373317444999998,4.056610598770000,350238.331612000009045,133.000000000000000,138.000000000000000,201508,2015,08
278,Mabale,9,1780.000000000000000,0.010364172820000,125.333335876000007,147.666671753000003,22.333335876500001,133.108613488000003,3.593820138180000,236933.332007999997586,133.000000000000000,138.000000000000000,201508,2015,08
279,Nekatambe,1,5882.000000000000000,0.034248350858000,111.000000000000000,138.666671753000003,27.666671752900001,129.744303892999994,3.033222414930000,763155.995498999953270,130.333328246999997,133.000000000000000,201509,2015,09
280,Nemananga,2,3134.000000000000000,0.018247931246000,120.666664123999993,144.333328246999997,23.666664123499999,131.112316235999998,3.465985340470000,410905.999084000010043,130.666671753000003,136.000000000000000,201509,2015,09
281,Sidinda,3,8465.000000000000000,0.049288046585000,121.333335876000007,143.333328246999997,21.999992370600001,130.367197132000001,2.067498475310000,1103558.323719999985769,130.333328246999997,133.000000000000000,201509,2015,09
282,Simangani,4,7246.000000000000000,0.042190334974000,121.000000000000000,138.000000000000000,17.000000000000000,129.460391299000008,2.196356335870000,938069.995354000013322,129.666671753000003,132.000000000000000,201509,2015,09
283,Unknown 16,5,1665.000000000000000,0.009694577385000,102.666664123999993,149.000000000000000,46.333335876500001,129.021220760000006,3.304431628580000,214820.332564999989700,129.000000000000000,132.000000000000000,201509,2015,09
284,Chidobe,6,1918.000000000000000,0.011167687342000,121.000000000000000,142.666671753000003,21.666671752900001,130.504170530000010,3.163076196510000,250306.999076999985846,130.333328246999997,134.666671753000003,201509,2015,09
285,Jambezi,7,3851.000000000000000,0.022422713219000,122.000000000000000,143.333328246999997,21.333328247099999,130.059550999999999,2.661636356820000,500859.330902000016067,130.000000000000000,133.333328246999997,201509,2015,09
286,Kachecheti,8,2626.000000000000000,0.015290066194000,120.666664123999993,142.666671753000003,22.000007629399999,131.018278288999994,2.821552987790000,344053.998787000018638,131.333328246999997,134.333328246999997,201509,2015,09
287,Mabale,9,1780.000000000000000,0.010364172820000,125.000000000000000,142.666671753000003,17.666671752900001,131.519662154000002,2.994280802980000,234104.998633999988670,131.333328246999997,135.333328246999997,201509,2015,09
288,Nekatambe,1,5882.000000000000000,0.034248350858000,112.000000000000000,174.000000000000000,62.000000000000000,131.451206934999988,4.931202323580000,773195.999191000009887,132.000000000000000,137.000000000000000,201510,2015,10
289,Nemananga,2,3134.000000000000000,0.018247931246000,119.666664123999993,146.000000000000000,26.333335876500001,131.487343157999987,3.557626275340000,412081.333457999979146,131.666671753000003,135.666671753000003,201510,2015,10
